SN,Term,Definition (English),Term translation/transliteration in Tigrinyan,Definition in Tigrinyan,Tigrinyan definition provided by (names),Term translation/transliteration in Amharic,Definition in Amharic,Amharic definition provided by (names)
497,Puerperium,The postnatal period. It includes the normal processes of physical and psychological adjustments in the period of about six weeks after the birth., ፐረፐርዩም ወይ ድማ ድሕሪ ወሊድ ዘሎ ግዜ,  6 ሰሙን ድሕሪ ወሊድ ዘሎ ግዘ ከይዲ ንቡር  ምምዕርራይ ኣካላውን ስነ-ኣእሙራውን ይሓውስ፡፡,,,,
498,Pulp (tooth),"Tooth pulp is the deepest part of the tooth structure, where nerves and blood vessels are found. If it becomes diseased or injured and can't repair itself, the tooth dies and will soon fall out. ",ውሽጣዊ ኣካል ስኒ/ፓልፕ/,ውሽጣዊ ዓሚቕ ቅርፂ ስኒ እንትኾን ነርቭን ደም ቧንባ ድማ ኣብዙይ ይርከቡ፡፡ፓልፕ እንተ ሓሚሙ ወይ እንተ ተጎዲኡ ኣይፅገንን (ናብ ዝነበሮ ኣይምለስን) ፣እቲ ስኒ ይመውትን ሽዑ ንሽ ድማ ይወፅእ፡፡  ,,,,
499,Pupil,The central opening in the ring-shaped muscular tissue of the iris. It gets smaller in bright light and larger in the dark. ,መርዓት ዓይኒ,ኣብ ማእከል ዓይኒ ዝርከብ ቀለብት ቅርፂ ዘለዎ ኣሪስ ቲሹ ኢዩ፡፡  ብርሃን እንትኾን ይንእስ እንትፅልምት ድማ ይዓቢ፡፡  ,,,,
500,Pus,"A yellowish-white, sticky fluid formed in infected tissue, consisting of bacteria, white blood cells, cellular debris and dying tissue. ",መግሊ,ሕውስዋስ ብጫን ፃዕዳን ዝጣበቕን ፈሳሲ እንትኾን ኣብ ዝረኸሰ ዝተፈጠረሉ ቲሹ ይስራሕ፡፡ እዙይ ድማ ባከተርያ፣ ፃዕዳ ዋህዮታት ደምን  ዝሞቱን ዝመሽመሹ  ቲሹን ዝሓዘ ኢዩ፡፡  ,,,,
501,Pustules,Pus-filled blisters usually seen around the umbilicus or in the nappy area. ,ምግሊ ዝsፀረ ,ምግሊ ዝsፀረ ,,,,
502,Questionnaires,A list of questions with a space under each one for the researcher to write the answers given by the respondent.,መጠይቕ,ዝርዝር ጥያቄታት ብፅሑፍ ዝሓዘ መጠይቕ,,,,
503,Quota,"A defined number that must be included in a sample. Quota sampling is a method that ensures that a certain number of subjects from different subgroups with specific characteristics appear in the sample, so that all these characteristics are represented. ",ኮታ/ብፅሒት,መፅናዕቲ ኣብ ዝካየደሉ ግዜ እቶም ዝፅንዑ ኣካላት ነቲ ካሊእ ብዝውክልሉ መንገዲ ኮታ/ብፅሒት ሂብካ ምስራሕ,,,,
504,Rabies,"A severe life-threatening viral disease, transmitted to humans in saliva in the bite of infected animals, particularly those in the dog family (canines). ",ሕማም ዕቡድ ከልቢ,ብቫይረስ ዝመፅእ ኣዝዩ ሓደገኛ ሕማም እንትኾን  ብዙሕ ጊዜ በቲ ቫይረስ ዝተተሓዘ ከልቢ ክትንከስ ከለኻ ዝመሓላለፍ እዩ ,,,,
505,Radiation,"In a newborn, radiation is the loss of heat from a newborn's skin to distant cold objects, such as a cold window or wall etc. ",ጨረር ,ጨረር ማለት ሙቀት ካብ ሕንጦ ክወፅእ ወይ ድማ ክኸድ ከሎ ,,,,
506,Rape,Forced sexual intercourse.,ኣገዲደካ ምድፋር,ብዘይ ፍቓድ ኣገዲድካ ፆታዊ ርክብ ምፍፃም,,,,
507,re-infection,"For example, a situation in which a person already living with HIV is infected with a new strain of HIV from another PLHIV. Re-infection can accelerate progression to AIDS.",ደግሲ ,ንኻልኣይ ጊዜ ወይ ብተወሳኺ ምርካስ,,,,
508,Reactivation,"For example, the process of progression from LTBI to active TB is called reactivation. The greatest risk for developing active TB is within the first two years following the initial infection.",ምኩሳሕ,ኩነታት ሕማም ካብ ዝሃሸ ናብ ዝበኣሰ ኩነታት ምኽያድ,,,,
509,Readiness,"A degree of willingness and eagerness of an individual to learn something new. Individuals learn best when they are physically, mentally and emotionally ready to learn — and they do not learn well if they see no reason for learning.",ዝግጁነት,ሓዱሽ ነገር ናይ ምፍላጥን ምስራሕን ዝግጁነት,,,,
510,Recency,"The principle of recency states that things most recently learned are best remembered. Conversely, the further a learner is removed time-wise from a new fact or understanding, the more difficult it is to remember. ",ወቕታዊ,ምስቲ ጊዜ ዝተሓደሰ መረዳእታ,,,,
511,Reconstitution,The process of mixing vaccines that come as powders with the diluent provided with the vaccine.,ምሕዋስ,ምሕዋስ መድሓኒት ምስ ሕሩጭ ዝመስል ነገር ,,,,
512,Recycling,"A process by which waste is processed in some way to be reformed into new or similar products. The principle is to make a usable product from the waste. Plastic bottles, newspapers, cardboard and tin cans can all be reprocessed and made into new items. ",መሊስካ ኣብ ጥቕሚ ምውዓል,ጊዚያዊ ትቕሞም ወዲኦም ዝተወገዱ ኣቑሑ መሊስካ ኣብ ጥቕሚ ምውዓል,,,,
513,Reduction,Keeping to a minimum.,ምቕናስ,ምቕናስ ወይ ናብ ዝተሓተ ደረጃ ምውራድ ,,,,
514,Referral,Sending a client for additional health services and specialised care at a higher level health facility. ,ሪፈር ምግባር ወይ ስጣን በላይ ምባል ,ሓደ ሕሙም ናብ ተወሳኺ/ዝሓሸ ናይ ጥዕና ኣገልግሎት ምስዳድ,,,,
515,refrigerator,"A cooling apparatus. Health facility refrigerators may be powered by electricity, kerosene, paraffin, bottled gas or solar energy. Electric refrigerators are usually the least costly to run and the easiest to maintain, but they must have a reliable electricity supply.",መዝሓሊ መሳርሒ ,ብኤሌትሪክ፣ ነዳጅ ወይ ዘይቲ ዝሰርሕ መዝሓሊ መሳርሒ,,,,
516,Regimen,A defined course of drug treatment. ,ረጂመን,ክፋል መድሓኒት ,,,,
517,Rehydration drink ,"A drink to correct dehydration, which you can make with boiled water, salt, and sugar or powdered cereal.", ጨው እንግሊዝ ,ናይ ሰብነት ምድራቕ ዝከላኸል/ዝቕንስ ካብ ማይ፣ጨው፣ ሽኮርን ሕሩጭን ዝዘጋጀ ፈሳሲ,,,,
518,Relapse,"A patient who has been declared cured or treatment completed in the past, but who reports back to the health service with the same initial symptoms of illness.",ምድጋስ ,ሓደ ሰብ ምወዩ ምስ ተረጋገፀ እንደገና ክሓምም ከሎ ,,,,
519,Relax,"To make less tense, rigid or firm. ",ምዝንናይ ,ምዝንናይ ,,,,
520,Research,"The collection, analysis and interpretation of data with the aim of answering certain questions or solving certain problems. Health research is aimed at investigating health-related problems systematically and using this knowledge to design better solutions for these problems. ",መፅናዕቲ,መረዳእታ ኣኪብካ፣ ተንቲነካን ተርጉይምካን ንሓደ ጥያቄ መልሲ ምሃብ,,,,
521,Reservoir,"In the context of the water cycle and hydrology, reservoir means all stores of water.  The place where the infectious agent is normally present before infecting a new human. Without reservoirs, infectious agents could not survive and hence could not be transmitted to other people. ",ተሸካሚ,ረኽሲ ከምፅኡ ዝኽእሉ ተሃዋስን ዝሽከም ሂወት ዘለዎ/ሂወት ዘይበሉ አካል ንኣብነት፡ ጣንጡ ዓሶ ንዘምፅኡ ተሃዋሰያን ትሽከም,,,,
522,Resistance,The ability of something to defend itself against something that would normally harm or kill it. Many bacteria become resistant to the effects of certain antibiotics. ,ማቁቓም,ጉደኣት ከምፁ ንነዘኽሉ አካላት እቲ ዝተሓሰበ ጉድኣት ነኸየስዕቡ ምቁቓም ምኽኣል፡፡ ንኣብነት ብዙሃት ባክቴርያታት መድሓኒት ይቃsሙ አለዉ,,,,
523,Resource,"What is needed or available for doing or making something. People, land, animals, money, skills and plants are resources that can be used for improving health.",ሃፍቲ,ሓደ ነገር ንምስራሕ ዘለካ ዓቕሚ ሃፍቲ፡፡ ንኣብነት፡ ናይ ዓቕሚ ዘለዎ ሰብ ሃፍቲ፣ ናይ ገንዘብ ሃፍቲ ወዘተ,,,,
524,Respirators,An apparatus to produce artificial respiration (breathing). Respirators have very small pores (too small to see with the naked eye) that allow the wearer to breathe but prevent infectious agents from passing through.,መተንፈሲ መሳርሒ,ኣረቴፊሻል መተንፈሲ መሳርሒ,,,,
525,Respondent,Person who answers the questions in a questionnaire/survey. ,መላሲ,ነዘተሓተተ ጥያቄ መልሲ ዝህብ,,,,
526,Retina,"A complex layer of tissue at the back of the eye, where the image from the light entering the eye is focused. When light hits the retina, it send signals to the brain along the optic nerve. The brain interprets these signals and turns them into information about what the eye is seeing. ",ረቲና,ንዝተረኣየ ምስሊ ናብ አእምሮ መልእኽቲ ዘመሓላልፍ ኣካል ዓይኒ,,,,
527,Retrovirus,A type of virus that must use reverse transcriptase to copy itself.,ሪትሮቫይረስ ,ዓይነት ቫይረስ ኮይኑ ንምርባሕ ሪቨርስ ትራንሰክሪፕቴዝ ዝተበሃለ ንትረ ነገር ዝጥቀም,,,,
528,Reuse,Using something more than once. ,መሊስካ ኣብ ጥቕሚ ምውዓል,ካብ ሓደ ግዜ ንላዕሊ ምጥቃም,,,,
529,Risk,The likelihood or probability of the hazard occurring and the magnitude of the resulting effects. Danger.,ብሕማም ናይ ምቅላዕ ሓደጋ ,ብሕማም ናይ ምቅላዕ ሓደጋ ,,,,
530,Rotavirus,"The most common cause of severe diarrhoea in infants and young children. Nearly every child in the world has been infected with rotavirus at least once by the age of five.[2] Immunity develops with each infection, so subsequent infections are less severe; adults are rarely affected",ሮታ ቫይረስ,ኣብ ህፃናት ናይ ተቕማጥ ሕማም ዘምፅእ ቫይረስ,,,,
531,Runoff,"In the water cycle; runoff includes all water that flows, under the force of gravity, across land in streams and rivers and across the surface, for example, of a field. ",ተፋሰስ,ውሕጅ ክውሕጅ ከሎ ,,,,
532,Sacrum,The triangular bone that forms the back of the pelvis.,ሳክረም,ኣብ ድሕሪት መቀመጫና ዘላ ስለስ ኵርናዕ ዓፅሚ መቀመጫ ,,,,
533,Safe,"Free from risk or danger, providing security or protection.",ድሕንነቱ ዝተሓለወ ወይ ድማ ዘየስግእ,ምንም ዓይነት ሓደጋ ዘይብሉ/ዘየምፅእ,,,,
534,Saliva,"Watery fluid, secreted into the mouth by the salivary glands, that functions in the tasting, chewing, and swallowing of food, moistens the mouth, and starts the digestion of starches.",ትፈታፍ (ምራቕ),ትፈታፍ (ምራቕ),,,,
535,Salt,"Sodium chloride, obtained from mines or by evaporation of seawater, used to flavour and preserve food.",ጨው,ምግቢ ንምጥዓምን ከይተበላሸወ ንምፅናሕን ንጥቀመሉ,,,,
536,Salting,The addition of salt (sodium chloride or NaCl) to food for the purpose of preservation. ,ጨው ምእታይ ወይ ምወሳኽ,ምግቢ ንምጥዓምን ከይተበላሸወ ንኽፀፅናሕን ጨው ምእታይ ወይ ምውሳኽ,,,,
537,Sample,"A small part of anything intended to show the quality, style, or nature of the whole specimen. E.g. To study a sample of a population.",ናሙና ወይ ድማ መርኣያ ,ብቑፅሪ ዉሕድ ዝኾነ ንብዙሕ ክውክል ዝኽእል መርኣይ,,,,
538,Sampling,The process of selecting a number of study subjects from a defined study population (i.e. the population being investigated). ,ናሙና ወይ መረኣይ ምፍላይ,ብቑፅሪ ዉሕድ ዝኾነ ንብዙሕ ክውክል ዝኽእል መርኣያ ምፍላይ,,,,
539,Sanitation,"Public cleanliness involving community efforts in disease prevention, promoting hygiene, and keeping public places free of waste.",ፅሬት,ኩነታት ጥዕና ማሕበረ ሰብ ንምምህያሽን ሕማም ንምክልኻልን ዝግበር ከባብዊ ፅሬት,,,,
540,Scabies,"A parasite infestation of the skin caused by microscopic mites, Sarcoptes scabiei. These tiny animals are spread principally by direct skin-to-skin contact (e.g. during close physical contact between children and parents, or during sexual intercource), and to a lesser extent through contact with infested clothes and bedding.",ሓፈው ወይ ዓበቅ ወይ ሕኸኽ ,ብዓይኒ ዘይረኣይ ቁማል ብዝመስል ተህዋስ ዝመፅእ ሕማም ቆርበት,,,,
541,Scar,"A mark left by a healed wound, sore, or burn.",በሰላ ወይ ጠባሳ,ድሕሪ ዝሓወየ ቁስሊ ዝቐሪ ምልክት,,,,
542,Schizophrenia,"A severe, chronic mental illness, characterized by some, but not necessarily all, of the following features: emotional blunting, intellectual deterioration, social isolation, disorganized speech and behavior, delusions, and hallucinations.",ዕብዳን,ንቡር ዘይኮነ ኩነታት ወይ ድማ ሕማም ኣእምሮ,,,,
543,Sclera,"A tough, leather-like, white tissue that extends all around the eye. Similar to an eggshell surrounding an egg and giving its shape, the sclera surrounds the eye and gives the eye its shape. ",ናይ ዓይንና ፃዕደዋይ ክፍሊ ,ናይ ዓይንና ፃዕደዋይ ክፍሊ ,,,,
544,Screening,The detection of an infection in an individual who does not show any signs or symptoms of the disease. ,መርሚርካ ምፍላይ,ምልክት ሕማም ዘይብሎም ወይ ዘይተርኣዮም ሰባት መርሚርካ ሕማሞም ምፍላይ ወይ ምንፃር ,,,,
545,Scurvy,"A disease caused by vitamin C deficiency which leads to sore skin, bleeding gums and internal bleeding. ",ብሕፅረት ቫይታሚን ሲ  ዝመፅእ ሕማም ኮይኑ ምልክቱ ሓርፋፍ ቆርበት፣ ምድምይ ግርፃንን ውሽጣዊ ኣካላትን ዝኾነ ሕማም,ብሕፅረት ቫይታሚን ሲ  ዝመፅእ ሕማም ኮይኑ ምልክቱ ድማ ሓርፋፍ ቆርበት፣ ምድምይ ግርፃንን ውሽጣዊ ኣካላትን ዝኾነ ሕማም እዩ,,,,
546,Sedimentation,The settling out of comparatively heavy suspended material (suspended solids) in water because of gravity. ,ምርጋእ/ምዝቃጥ,ክብድ ዝበሉ ነገራት ናብ ታሕቲ ክዘቅጡ ከለዉ ,,,,
547,Sediments,Consist of fine particles of mostly inorganic material such as mud and salt washed into a stream as a result of land cultivation and construction. They may also arise from demolition and mining operations where these activities take place.  ,ዝዘቐጡ ነገራት,ዝዘቐጡ ነገራት,,,,
548,Segmentation,Division into segments.,ምክፍፋል,ምክፍፋል,,,,
549,Seizures," A seizure or fit is caused by a sudden burst of excess electrical activity in the brain, causing a temporary disruption in the normal messages passing between brain cells. ",ምንቅጥቃጥ ሰውነት ወይ ድማ ዘውድቅ ሕማም,ምንቅጥቃጥ ሰውነት ወይ ድማ ዘውድቅ ሕማም,,,,
550,Self-awareness,The part of intrapersonal communication that determines how a person sees him or herself and how they are oriented toward others. ,ዓርሰ ፍልጠት,ናይ ባዕልኻ ኩነታት ምፍላጥ,,,,
551,Self-efficacy,"The most important predisposing factor for self-regulating one's behaviour is seen to be self-efficacy, that is the person's perception of how successful he or she can be in performing a particular behaviour. ",ዓርሰ ውፅኢታውነት ,ሓደ ሰብ ሓደ ነገር ውፅኢታዊ ንክኸውን ብዓርሰ እምነት እንትሰርሕ፡፡  ,,,,
552,Self-limiting,Limiting oneself or itself.,ምውሳን,ባዕልኻ ምውሳን ወይ ድማ ኣትሒትካ ምርኣይ ,,,,
553,Self-regulatory,Used for or capable of controlling or adjusting itself or oneself.,ንባዕልኻ ምቁፅፃር,ሓደ ሰብ ባዕሉ ንባዕሉ ክቆፃፀር ከሎ ,,,,
554,Self-treatment,Self-treatment describes how the person with an illness does things (or takes medication) to try to help themselves.,በዕልኻ ንባዕልኻ  ምሕካም,ሓደ ሰብ ባዕሉ ሕማሙ  ነፂሩ ብባዕሉ መድሓኒት ክውሳድ ከሎ ,,,,
555,Septicaemia,An infection of the blood-sometimes called 'blood poisoning'. ,ረኽሲ ደም/ እንትብከል/,ደም ብታህዋስያን ምብካል,,,,
556,Serological,The science dealing with the immunological properties and actions of serum.,ሰሮሎጂካል,ኣብ ውሽጢ ሰብነት ዝርከቡ ፈሰስትን መከላኸሊ ሓይሊ ዘፅንዕ ሳይነስ ኢዩ፡፡ ሰሮሎጂካል,,,,
557,Sewage,The mixture of human waste with wastewater.,ቀልቀል ወዲ ሰብ ምሰ ረሳሕ ማይ እንትሕወስ,ቀልቀል ወዲ ሰብ ምሰ ረሳሕ ማይእንትሕወስ,,,,
558,Sex,The biological characteristic that defines humans as female or male.,ፆታ , መፍለዪ ተፎጥራዊ ባህርይ ወዲ ሰብ (ተባዕታይ ወይ ኣነሰታይ)   ,,,,
559,Shigellosis,"An acute intestinal infection caused by the bacterium Shigella, common among children and characterized by fever, abdominal pain and diarrhoea.",ሺገሎሲስ,ሺገላ ብዘተብሃለ ባከተረያ ዘመፅእ ህፁፅ ረኽሲ ሕማም ከብዲ ኮይኑ ምልክታቱውን ከም  ረስኒ ቁርፀትን ውፅኣትን  እንትኾኑ ኣባዝሓ ግዘ  ኣብ ህፃውንቲ ዝርአ  ኢዩ፡፡  ,,,,
560,Shock,"A dangerous condition with severe weakness or unconsciousness, cold sweat, and fast, weak pulse. It is caused by dehydration, hemorrhage, injury, burns, or severe illness.",ውነ ምስሓት/ሰብነት ምዝሓል/ ,ውነ ምስሓት ማለት ብምኽነያት ደም ምፍሳስ ሓደጋ ቃፀሎ ወይ ብርቱዕ ሕማም ዝመፅእ ሓደገኛ ኩነታት  ኮይኑ ምልክታቱውን ድኻም ፣ ውነ ምሰሓት፣ ድኹም ትርግታን ስውንት ምዝሓልን  ኢዮም  ,,,,
561,Show,"In the last few days of pregnancy, the cervix may begin to open. Sometimes the mucus and a little bit of blood called 'show' drip out of the vagina. It may come out all at once, like a plug, or it may leak slowly for several days. When you see the show, you know that the cervix is softening.",ኣብ ናይ መጨረሻ ወርሒ ጥንሲ ዝርአ ንእሽቶን ደም ዝተሓወሶ ፈሳሲ ,ኣብ ናይ መጨረሻ ወርሒ ጥንሲ ዝርአ ንእሽቶን ደም ዝተሓወሶ ፈሳሲ ,,,,
562,Side-effects,Problems caused by using a medicine.,ጎናዊ ሳዕቤን,ብምኽንያት መድሓኒት ዝመፅእ ጎናዊ ሳዕብየን,,,,
563,Signs,"Signs of a disease are the features that would only be detected by a trained health worker (e.g. high temperature, fast pulse rate, enlargement of organs in the abdomen,etc.) to see what sickness the patient has.",ምልክት,እዙይ ምልክት ሕማም ብብዓል ሞያ ኣብ እዋን ምርመራ ዝፍለጥ ኢዩ፡፡ ንኣብነት ትርግታ፡ልዕል ዓቐን ሙቐት,,,,
564,Sino-implant,"Sino-implant is a contraceptive implant of two rods prepared from progestin, and is similar to Jadelle. It is effective for five years. ",ኣብ ቅልፅም ኢድ ዝቅበር ሜላ መከላኸሊ ጥንሲ , ካብ ፕሮጀስቲን  ዝተዳለወ  ን 5 ዓመት ዝከላኸል ኣብ ቅልፅም ኢድ ዝቅበር ሜላ  መከላኸሊ ጥንሲ ኢዩ   ,,,,
565,Sinus trouble (Sinusitis),Sinuses are hollows in the bone that open into the nose. Sinusitis is inflammation causing pain above and below the eyes. ,ሳኑሳይትስ,ሳይነስ ኣብ ልዕሊ ዓይንን ትሕቲ ዓይንን ዘርከቡ ዓፅሚ ዘሎ ቀዳድ/ነኻል/፡፡ ሳኑሳይትስ ማለት ድማ ኽሲ ኣብ ልዕሊ ዓይንን ትሕቲ ዓይንን ኣብ ዘርከቡ ዓፅሚቲ እንተጋጥም መግለፂኡ ድማ ቃንዛ እዩ፡፡,,,,
566,Smear,A small quantity of something spread thinly on a slide for microscopic examination. ,ሲምር,ዝኾነ ንኡሽተይ ነገር ኣብ ስላይድ ብቐጢኑ ተዘርጊሑ/ተለምጢጡ/ ብመይክሮስኮፕ ዝምርመር,,,,
567,Smear-negative,"""Smear-negative test"" means a test that produced negative results and the test itself was based on a smear.",ሲሚር ነጋቲቭ,ዝኾነ ንኡሽተይ ነገር ኣብ ስላይድ ብቐጢኑ ተዘርጊሑ/ተለምጢጡ/ ብመይክሮስኮፕ ምስተመርመረ ውፅኢቱ ነጋቲቭ እንትኾን,,,,
568,Smear-positive,"""Smear-positive test"" means a test that produced positive results and the test itself was based on a smear.",ሲሚር ፖሲቲቭ,ዝኾነ ንኡሽተይ ነገር ኣብ ስላይድ ብቐጢኑ ተዘርጊሑ ብመይክሮስኮፕ ምስተመርመረ ውፅኢቱ ፖስቲቭ እንትኾን,,,,
569,SMI,Severe mental illness (SMI) are the more extreme and distressing disorders . Individuals with SMI are those with an illness that severely restricts their day-to-day activities.,ብርቱዕ ሕማማ ኣእምሮ,ዘይንቡር ብጣዕሚ ዘጨንቕ ሕማም ኣእምሮ,,,,
570,Smoking (food),Smoking is one of the oldest methods used to improve the quality of food and is commonly used to preserve meat and fish. , ምዕጣን ምግቢ , ምግቢ ከይተበላሸወ ንነዊሕ ግዘ ንኽፀንሕ እንጥቀመሉ ዝፀንሐ ሜላ ኢዩ,,,,
571,Somatisation,"This is when mental or social distress (e.g. chronic poverty, marital problems) comes out as a physical symptom.",ሶማታይዘሽን, ብስንኪ ድክነትን ናይ ሓዳር ጎንፂ  ዝፍጠር ናይ ስነ ኣእምሮ ወይ ማሕበራዊ ፅገም ኢዩ ፡፡,,,,
572,Spasm,A sudden muscle contraction that a person cannot control. ,ምጭባጥ ጭዋዳ ,ወዲ ሰብ ክቆፃፀሮ ዘይኽእል ሃንደበታዊ  ምጭባጥ ጭዋዳ,,,,
573,Spermicides,"Chemical barriers, or sperm-killing substances, available as foams, creams, gels, films or suppositories, which are often used in female contraception in conjunction with mechanical barriers and other devices. Spermicides are usually available without a prescription or medical examination.",ዘርኢ ወዲ ተባዕታይ ዝቐትል, ዘርኢ ወዲ ተባዕታይ ዝቐትል ወይ ንማህፀን ከይኣትው ዝከላኸል ብዝተፈላለየ ዓይነት ዝዳሎ መድሓኒት ,,,,
574,Splint,"A thin piece of wood or other rigid material used to immobilize a fractured or dislocated bone, or to maintain any part of the body in a fixed position. ",ስፕሊንት/ መደገፊ;,ካብ ዕንፀይቲ  ወይ ካብ ጥንክር ዝበለ ዝስራሕ ኮይኑ ስብራት ዓፅሚ ወይ ሙላቕ ንኸይንቀሳቐስ ዝሕግዝ መደገፊ ኢዩ፡፡ ,,,,
575,Splinting,"To secure, hold in position, or support by means of a splint or splints, as a fractured bone. Splinting prevents further damage, which may result in loss of the limb or disability at a later period. ",ስፕሊንቲንግ,ኣእጋር ምዝርጋሕ ወይ ድማ ስፕሊንቲንግ ,,,,
576,Sputum,A jelly-like mucus coughed up from the lungs and bronchi of a sick person. ,ዓኽታ ,ወዲ ሰብ እንትስዕል ካብ ሳንባ ዝወፀፅእ ዘለግለግ ዝብል ፈሳሲ   ,,,,
577,Stakeholders,A person or group that has a shared interest in something.,መዳርግቲ ኣካላት,ናይ ሓባር ድልየት ዘለዎም ሰባት  ,,,,
578,Sterile,(1) Completely clean and free from living microorganisms. Things are usually sterilized by boiling or heating. (2) Sterile also means permanently unable to have children.,ዝመኸነ,1. ፅሩይን ካብ ታህዋስያን ናፃ ዝኾነ፡፡ንምምካን እንጥቀመሎም ሜላታት ምውዓይ ሙማቕ  2. ንኩሉ ግዘ ቆልዓ  ምውላድ ዘይምኽኣል,,,,
579,Sterilization ,"(1) To sterilize instruments, bottles, and other things by boiling or heating in an oven. (2) Permanent way of making a man or a woman unable to reproduce (have children).",ምምካን,1.ኣቑሑት፤ ጠራሙዝ ከምኡውን ካለኦት ነገራት  በምውዓይ ወይ ብሙማቕ ካብ ታህዋስያን ናፃ ምግባር፡   2.  ቆልዓ  ምውላድ ዘይምኽኣል,,,,
580,Stigma,"Refers to the way in which a characteristic, marks the person out as different and leads to negative attitudes by others. E.g. Stigmatised People Living with HIV often feel isolated, abused and discriminated against by others. ",ምግላል,ምግላል ንኣብነት ምስ ኤች ኣይ ቪ ንዝንብሩ ወገናት ዝግበር ምግላል,,,,
581,Stillbirths,Babies born dead after the 28th week of gestation.,ብምውቱ ዝተወልደ ቆልዓ,ድሕሪ 28 ሰሙን ጠንሲ ብምውቱ ዝተወልዱ ቆልዑት,,,,
582,STIs,"Sexually transmitted infections (STIs) is a term used to describe more than 20 different infections that are transmitted mainly through sexual contact via the exchange of semen, vaginal fluid, blood and other fluids; or by direct contact with the affected body areas of people with STIs. ",ብፆታዊ ርክብ ዝመሓላለፉ ሕማማት,ልዕሊ 20 ዓይነት ዘተፈላለዩ ሕማም ኣብ እዋን ፆታዊ ርክብ ካብ ብሕማም መወስቦ ዝሐመመ ሰብ  ናብ ጥዑይ ሰብ ብናይ ወዲ ተባዕታይ ወይ ጓል ተነሰተይቲ ፈሳሲ ወይ ደም   ዝመሓላለፉ ሕማማት ,,,,
583,Strategy,A plan or method for obtaining a specific goal or result. ,ኣንፈት,ውሱን/ንፁር/ ዒላማ ወይ ውፅኢት ዘሓዘ ትልሚ ,,,,
584,Stridor,A harsh noise made during inhalation.,ሰትራይዶር, ኣብ እዋን ኣየር ንውሽጢ እንትሰሓብ ዝፈጥር ዘይንቡር  ድምፂ ,,,,
585,Stroke,"A sudden loss of consciousness, feeling, or ability to move, caused by bleeding or a clot inside the brain. ",ስትሮክ,ብሰንኪ ኣብ ውሽጢ ሓንጎል ደም ብምፍሳስ ወይ ደም ምርጋእ ዝመፅእ ሃንደበታዊ ውነ ምስሓት ኢዩ፡፡  ,,,,
586,Stunting,Chronic malnutrition in children.Stunting is defined as a low height for age of the child compared to the standard child of the same age. Stunted children have poor physical and intellectual performance and lower work output.,ምድኽዳኽ,ብሕዱር ሕፅረት ምግቢ ዝተጠቕዐ  ህፃን ብዋናነት ቁመቱ ምስ ዕድመ መዘንኡ ህፃን  እንትነፃፅር ዝነኣሰ እንትኸውን  ብቁመንኡን ኣትሓሳስብኡን ብስራሕ ውፅኢቱን ድኹም ኢዩ፡፡,,,,
587,Subcutaneous (SC),The vaccine is injected into the fatty tissue below the skin and above the muscle. ,ትሕቲ ቆርበት ዘሎ ኣካል ሰብነት,ሓድሓደ ዓይነት ክታበት ትሕቲ ቆርበትን ልዕሊ ጭዋዳን  ኣብ ዝርከብ ስብሒ ዘለዎ ኣከል ሰብነት ይወሃብ፡፡ ,,,,
588,Suctioning,Using a device called a bulb syringe to extract mucus and fluid from the baby's nose and mouth. ,ምምጣጥ / ምስሓብ,ፍሳስን ዕንጋር ዝመስልን ለሓግሓግ ዝብል ካብ ኣፍን ኣፍንጫን ስሒቡ ዘውፅእ መሳርሒ ኢዩ፡፡,,,,
589,Suicide,A person who intends to purposefully kill themselves. ,ዓርሰ ቅትለት,ሓደ ሰብ ኮነ ኢሉ ባዕሉ ንባዕሉ ህይወቱ እንተሕልፍ፡፡,,,,
590,Sullage,"Also known as greywater, is water that has been used for washing in bathrooms and kitchens; it does not include human waste.",ዝቃጭ,ቀልቀል ወዲ ሰብ ዘይተሃወሶ ረሳሕ ማይ፡፡,,,,
591,Superior,Above. ,ላዕለዋይ ,ላዕለዋይ ,,,,
592,Superstructure,"The upper part of a pit latrine, to provide protection from the rain and sun, and privacy and comfort for the user. ",ላዕለዋይ ክፍሊ,ላዕለዋይ ክፍሊ ሽንት ቤት፡፡ ,,,,
593,Supervision,Supervision is usually a meeting at which you are able to sit down with a senior colleague and discuss issues that are important in your work.,ዑደት ወይ ደገፍ ,ላዕለዎት ክኢላታት (ሰብ ሞያ) ንብሕቲኦም ዘለዉ ክኢላታት (ሰብ ሞያ) ስራሕ ማእከል ዝገበረ ዝግበር ክትትልን ድጋፍን፡፡ ,,,,
594,Suppository,A specially shaped capsule of medicine to put up the anus or vagina.,ብመቀመጫ  ወይ ብብልዕቲ ጋል ተነስተይቲ ዝኣቱ መድሓኒት,ብመቀመጫ  ወይ ብብልዕቲ ጓል ተነስተይቲ ዝኣቱ መድሓኒት,,,,
595,Sustainable,"Able to be supported, maintained.",ቀፃልነት,ቀፃልነት ዘለዎ ደገፍ,,,,
596,Sutures,Sutures are joints between the bones of the skull. A suture is also a stitch made with needle and thread to sew up an opening or wound.,መራኸቢ ሸኾና ርእሲ፤ ቁስሊ ምስፋይ,መራኸቢ ሸኾና ርእሲ፤ ቁስሊ ምስፋይ,,,,
